Id,Organization,Type,Region,Location,Latitude,Longitude,Focus,Category,Year,Mission,Key_persons,Key_words,Contact_address,Contact_site,Contact_phone,Contact_fax,Contact_email,Active
7,Berggruen Institute,Research Centers & Networks,North America,USA,34.05077317,-118.2477778,Planetary Governance,Solutions & Politics,2010,"From pandemic management to climate change, the nation-state is ill-equipped to manage the underlying causes of planetary-scale disruptions and the consequences for local communities. This failure of states to govern effectively in turn produces a crisis of legitimacy. Solving these twin crises requires a fundamental reimagining and restructuring of our governing institutions. The Berggruen Institute’s project on planetary governance is investigating how to create new planetary-scale institutions capable of addressing planetary-scale challenges, as well as how to enable more effective collaboration among subnational actors and local institutions.","Nils Gilman (Deputy Editor of Noema Magazine, the future of capitalism, political economy, climate change)

Jonathan S. Blake (political science, multi-scalar governance)","Planetary, governance, nation-states, interdependence, planetary-scale","Berggruen Institute,
Bradbury Building
304 S. Broadway, Suite 500
Los Angeles, CA 90013, United States of America",www.berggruen.org/work/the-planetary/  ,"""+1 (310) 550 7083""","""+1 (424) 268 2549""",institute@berggruen.org,Active
2,Planetary Solutions Project at Yale University,Research Centers & Networks,North America,USA,41.3164921,-72.92232024,Planetary Solutions,Solutions & Politics,2020,"The Planetary Solutions Project will help solve global environmental problems caused by human activities, especially climate change and the loss of biological diversity. Planetary solutions developed at Yale will integrate the natural, health and social sciences, engineering, and humanities; be disseminated through education, outreach, and civic leadership; and be supported by incentives and policies to promote their implementation.",Scott A. Strobel (Yale University Provost),"Planetary, climate change, interdisciplinary, ecosystems, food systems, monitoring, modeling, anthropogenic, carbon capture and storage, evolutionary, Earth-system, biogeochemical, planetary health, sustainability, justice   ","Yale University,
New Haven, CT 06520,
United States of America",planetarysolutions.yale.edu/project-framework,"""203 432 4771""",,,Active
3,Pathways to Planetary Health - Garrison Institute,Organizations & Associations,North America,USA,41.3695316,-73.95181751,Planetary Health,Habitability & Hospitability,2018,"Pathways to Planetary Health (PPH) is the Garrison Institute’s signature environmental initiative. PPH helps advance the field of planetary health, building upon nearly two decades of experience developing practical, scalable solutions to global environmental issues by integrating the physical and behavioral sciences, the relational world view inherent in contemplative and indigenous traditions, and a moral view seeking to optimize the regenerative capacity of all of life on Earth.",Tony Cisneros (Program Director),"Planetary, health, indigenous, biodiversity, regenerative economics, human ecology, Anthropocene","Garrison Institute,
P.O. Box 532,
14 Mary's Way, Route 9D
Garrison, NY 10524, United States of America

",www.garrisoninstitute.org/initiatives/programs/pathways-to-planetary-health-2/,"""(845) 424 4800""",,tony@garrisoninstitute.org,Active
4,Global Common Alliance,Research Centers & Networks,North America,USA,37.7898693,-122.4020093,Planetary Solutions,Solutions & Politics,2019,"The Global Commons Alliance is an unprecedented partnership of more than 50 of the world’s most forward-looking organisations in philanthropy, science, business and advocacy.
Our goal is to create the most powerful network to scale science-based action to protect people and planet.
Our mission is to empower citizens, cities, companies and countries to become stewards of our global commons.
Our vision is the triumph of the global commons. We will all thrive and prosper from a stable, resilient planet. We believe our planet can be restabilized by 2050 by applying decades of accumulated knowledge of effective management of common resources. Our future is the triumph not the tragedy of the commons. ","Darío Soto-Abril (Chair of GCA)
Carlos Manuel Rodriguez (CEO and Chairperson, Global Environment Facility)
Caroline Bryant (Global Manager for the Purposeful Business Initiative, Porticus)
Diane Holdorf (Executive Vice President (EVP) Pathways, World Business Council for Sustainable Development)
Johan Rockstrom (Director, Potsdam Institute for Climate Impact Research (PIK))
Kristian Parker (Vice-Chair of the Board of Trustees, Oak Foundation)
Marco Lambertini (Director General, WWF International)
Naoko Ishii (Director, Center for Global Commons, University of Tokyo)
Janet Ranganathan (Vice President for Research, Data, and Innovation, World Resources Institute)
Akanksha Khatri (Head of Nature and Biodiversity, World Economic Forum)
Mark Gough (CEO, Capitals Coalition)
Sweta Chakraborty (President of US Operations, We Don't Have Time)","Planet, commons, restabilize, sustainability, climate, biodiversity","Note: Global Commons Alliance is a sponsored project of Rockefeller Philanthropy Advisors

Rockefeller Philanthropy Advisors,
6 West 48th Street, 10th Floor
New York, NY 10036, United States of America

",www.globalcommonsalliance.org,,,communications@globalcommons.org,Active
5,Cascade Institute,Research Centers & Networks,North America,Canada,48.43430493,-123.4740413,Planetary Socio-ecology,Solutions & Politics,2020,"A Canadian research center addressing the full range of humanity’s converging environmental, economic, political, and technological crises. We use advanced methods drawn from complexity science to map and model global systems; our aim is to identify high-leverage intervention points in cognitive, institutional, and technological systems that could rapidly shift humanity’s course towards fair and sustainable prosperity.

Two scientific premises guide our approach. First, we assume that today’s planetary socio-ecological system is “complex” in the scientific sense of the word.

Second, we assume that societies are organized around cohesive sets of worldviews, institutions, and technologies, which we call “WITs.” Within each WIT, the three components are tightly interdependent: they influence each other, depend on each other, and usually hang together in a cohesive way.",Thomas Homer-Dixon (Founder and Director),"Planetary, polycrisis, global systems, socio-ecological, climate change, interventions, nonlinear behavior, ","Cascade Institute,
Royal Roads University,
2005 Sooke Road
Victoria, BC  V9B 5Y2,
Canada",https://cascadeinstitute.org/,"""250 391 2511""",,,Active
6,Tellus Institute,Organizations & Associations,North America,USA,42.37590621,-71.1207928,Planetary Justice,Justice & Ethics,1976,"Tellus Institute strives to advance a planetary civilization rooted in justice, well-being, and sustainability. Our work addresses key dimensions of a transformative global praxis—understanding, vision, and action—by fostering scholarship, developing scenarios, and mobilizing networks for change. At this perilous juncture in human affairs, Tellus now more than ever joins engaged thinkers and thinking activists the world over in shaping a global transition, the great challenge of our time.",Paul Raskin (President),"Planetary, justice, civilization, sustainability, climate change, Great Transition","
Tellus Institute,
2 Garden Street,
Cambridge, MA 02138,
United States of America
",https://www.tellus.org/,,,info@tellus.org,Active
1,Antikythera by Berggruen Institute & One Project,Research Centers & Networks,North America,USA,34.02,-118.1,Planetary Computation,Solutions & Politics,2022,"Antikythera is a program reorienting planetary computation as a philosophical, technological, and geopolitical force.","Benjamin Bratton (Director)
Stephanie Sherman (Associate Director)
Ben Cerveny (Associate Director)
Nicolay Boyadjiev(Studio Director)
Emily Knapp (Senior Program Manager)
Jade Clemons (Senior Program Manager)
Metahaven (Designers & Filmmakers)
Andrey Karabanov (Design Technologist)","Planetary computation, geopolitics, Planetary Sapience, artificial intelligence, planetary intelligence, planetarity, Synthetic Catallaxy, hemispherical stacks, synthetic intelligence","Berggruen Institute,
Bradbury Building
304 S. Broadway, Suite 500
Los Angeles, CA 90013, United States of America",https://antikythera.xyz/#,,,contact@antikythera.xyz,Active
8,The Anthropocene Project,Research Centers & Networks,North America,Canada,43.64625661,-79.39561472,Planetary Thinking,Solutions & Politics,2018,"The Anthropocene Project is a multidisciplinary body of work from world-renowned collaborators Nicholas de Pencier, Edward Burtynsky and Jennifer Baichwal. Combining art, film, virtual reality, augmented reality, and scientific research, the project investigates human influence on the state, dynamic and future of the Earth.","Edward Burtynsky
Jennifer Baichwal
Nicholas de Pencier","Anthropocene, planetary thinking, planetary boundaries, art, virtual reality, multidisciplinary, climate change","Edward Burtynsky Photography,
80 Spadina Avenue,
Suite 207
Toronto, Ontario, Canada
M5V 2J4",https://theanthropocene.org/,,,info@theanthropocene.org,Active
9,Biomimicry Institute,Organizations & Associations,North America,USA,46.85243935,-114.0155618,Planetary Health,Habitability & Hospitability,2006,"The Biomimicry Institute empowers people to create nature-inspired solutions for a healthy planet.
Biomimicry is a practice that learns from and mimics the strategies found in nature to solve human design challenges in a regenerative way. The Biomimicry Institute empowers people to create nature-inspired solutions for a healthy planet. Our goal today is for biomimicry to become a natural part of the design process, to create a new generation of innovators who support all life on this planet.","Janine Benyus (Co-founder)
Bryony Schwan (Co-founder)
Dayna Baumeister (Co-founder)","Planetary health, biology, design, biomimicry, regenerative design, circularity, sustainability","Biomimicry Institute,
PO Box 9216
Missoula, MT 59807,
United States of America",https://biomimicry.org/ ,"""+1 415 800 1401""",,info@biomimicry.org,Active
10,Planetary Health College - Akamai University ,Research Centers & Networks,North America,USA,20.03831599,-155.828518,Planetary Health,Habitability & Hospitability,2002,"Programs at the graduate and undergraduate level address the three primary goals: address the health and well-being of individuals, families, organizations; promote racial equality and justice for all; and  conduct innovative projects to improve the human condition and planetary health.","Medani Bhandari (Dean)
Man BK (Collaborator)","Planetary health, racial equality, planetary wellbeing, climate change, biodiversity loss, sustainability, interdsciplinary, Green Growth","Akamai University,
61-3642 Kawaihae Road, Kamuela, HI
96743, United States of America",https://www.akamai.university/,"""1 (808) 491 9514""
""1 (919) 724 9657""",,info@akamai.university,Active
